question,intent,source,id
Why do researchers in areas requiring minimal resources apply for grants?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),30171
"Difference between transactions and journal - I feel a little bit ashamed, but I have never understood the difference between transactions and journals. This question is quite related. H",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),3189
Ethics of Accepting Unneeded Merit Based Scholarships,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),25596
"How to find references for terminology? - I'm just trying to find a reference for what the term ""library"" or ""framework"" means in programming.   Are there any ways to find such termi",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),22294
How much research funding do faculty members get in China?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),20204
How economically efficient is the grant system?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),1409
How does the government shutdown in the United States affect research projects at universities and national labs?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),10601
"Funding as a newly graduated PhD - So at last I have graduated. I experienced my ex advisor 'dropping me' more or less, and focusing on his own tasks. He no longer communicate",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),9469
"Is it necessary to add mentions such as ""Any opinion expressed in the paper does not necessarily reflect the view of the funder""?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),21866
How should I ask for library services for literature review?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),11377
Can I get into a funded graduate Psychology program after having studied Chemistry?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),32314
"Should I consider my conference paper as published, if fee is paid but I didn't attend the conference?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),2073
How to get the letter of commitment of the host institution for ERC Calls?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),28911
Overlap between individual parts of BMBF funding proposals (Germany)?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),20579
"For NSF proposal and grant purposes, do graduate students meet the definition of ""investigator""?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),2303
What sections should I include in the Project Description section of my NSF grant proposal?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),8651
