id,question,intent,course,course_code,branch,semester,unit
30171,Why do researchers in areas requiring minimal resources apply for grants?,campus_life_and_student_services,,,,,
3189,"Difference between transactions and journal - I feel a little bit ashamed, but I have never understood the difference between transactions and journals. This question is quite related. H",campus_life_and_student_services,,,,,
25596,Ethics of Accepting Unneeded Merit Based Scholarships,campus_life_and_student_services,,,,,
22294,"How to find references for terminology? - I'm just trying to find a reference for what the term ""library"" or ""framework"" means in programming.   Are there any ways to find such termi",campus_life_and_student_services,,,,,
20204,How much research funding do faculty members get in China?,campus_life_and_student_services,,,,,
1409,How economically efficient is the grant system?,campus_life_and_student_services,,,,,
10601,How does the government shutdown in the United States affect research projects at universities and national labs?,campus_life_and_student_services,,,,,
9469,"Funding as a newly graduated PhD - So at last I have graduated. I experienced my ex advisor 'dropping me' more or less, and focusing on his own tasks. He no longer communicate",campus_life_and_student_services,,,,,
21866,"Is it necessary to add mentions such as ""Any opinion expressed in the paper does not necessarily reflect the view of the funder""?",campus_life_and_student_services,,,,,
11377,How should I ask for library services for literature review?,campus_life_and_student_services,,,,,
32314,Can I get into a funded graduate Psychology program after having studied Chemistry?,campus_life_and_student_services,,,,,
2073,"Should I consider my conference paper as published, if fee is paid but I didn't attend the conference?",campus_life_and_student_services,,,,,
28911,How to get the letter of commitment of the host institution for ERC Calls?,campus_life_and_student_services,,,,,
20579,Overlap between individual parts of BMBF funding proposals (Germany)?,campus_life_and_student_services,,,,,
2303,"For NSF proposal and grant purposes, do graduate students meet the definition of ""investigator""?",campus_life_and_student_services,,,,,
8651,What sections should I include in the Project Description section of my NSF grant proposal?,campus_life_and_student_services,,,,,
22103,Should I mention the title of my published paper in a personal statement even though this paper is not in a top level?,campus_life_and_student_services,,,,,
32430,Should I mention reimbursements for financial expenditures when first contacting tentative speakers for a workshop?,campus_life_and_student_services,,,,,
13209,Are Canadian applicants favored in graduate admissions or funding for Canadian graduate programs?,campus_life_and_student_services,,,,,
1116,Is it legal to use tourist visa waiver for academic visits?,campus_life_and_student_services,,,,,
23874,Whether to change supervisor in UK Masters degree when supervisor is not providing much feedback and says I can change supervisor if I want?,campus_life_and_student_services,,,,,
21384,Question regarding career in Mathematics - I apologize if this is not the correct place to ask such a question. This is my first time using Stack Exchange. Please feel free to point m,campus_life_and_student_services,,,,,
15697,"Splitting publication fees among coauthors - What are accepted ways of splitting publication fees among coauthors, when authors are from different research groups and potentially even d",campus_life_and_student_services,,,,,
20200,Is it unwise to start a Ms/PhD program without a stipend - will it upset professors if I leave with a masters to apply to funded programs?,campus_life_and_student_services,,,,,
25724,How long should a CV for Masters application be?,campus_life_and_student_services,,,,,
26887,"How to tactfully ""decommit"" from projects? - As a young academic recently flown from the nest, I am starting to figure out my own research interests. I now feel like I have too many, th",campus_life_and_student_services,,,,,
32296,How do I get feedback after a failed tenure-track job search?,campus_life_and_student_services,,,,,
34077,How to write a cover letter as proposing to apply for funding source with a professor,campus_life_and_student_services,,,,,
9283,"Conference Registration Fees are so high, is it normal?",campus_life_and_student_services,,,,,
14629,Legal responsibility of a university for international students (Europe),campus_life_and_student_services,,,,,
9965,How can I export my Google Scholar Library as a BibTeX format?,campus_life_and_student_services,,,,,
28423,Funding for Belgian student to do a PhD in UK?,campus_life_and_student_services,,,,,
10464,Value of scientific community statement on brain training,campus_life_and_student_services,,,,,
27435,Complete financial statement as the part of scholarship application,campus_life_and_student_services,,,,,
9959,How Can I Get a full scholarship to a University by my Skills | as an International Student?,campus_life_and_student_services,,,,,
3510,No reply after almost two months since the first interview,campus_life_and_student_services,,,,,
26848,How to ask for feedback from research students on my supervision abilities?,campus_life_and_student_services,,,,,
327,How to avoid and address a lack of gender diversity in grant proposals?,campus_life_and_student_services,,,,,
26280,When/how can one be funded by multiple grants?,campus_life_and_student_services,,,,,
